Date,Close/Last,Volume,Open,High,Low
11/29/2016,$94.99,14128660,$93.67,$96.055,$93.39
11/28/2016,$93.76,14287080,$93.02,$95.7411,$93.00
11/25/2016,$93.01,4868511,$93.55,$93.75,$92.77
11/23/2016,$93.03,11736610,$92.53,$93.40,$91.45
11/22/2016,$93.21,10396530,$94.24,$94.42,$93.16
11/21/2016,$93.41,8926920,$94.05,$94.66,$93.00
11/18/2016,$93.39,9729471,$94.85,$95.30,$92.67
11/17/2016,$94.07,10375260,$94.71,$94.98,$93.64
11/16/2016,$92.86,13047920,$91.39,$93.68,$91.33
11/15/2016,$91.00,16700650,$91.00,$93.49,$90.75
11/14/2016,$89.77,27341470,$92.451,$92.54,$87.88
11/11/2016,$92.99,23694700,$93.86,$94.09,$91.10
11/10/2016,$94.34,27298660,$98.34,$98.50,$92.22
11/09/2016,$96.67,20912660,$97.38,$98.58,$95.80
11/08/2016,$99.85,8065331,$99.39,$99.99,$98.36
11/07/2016,$99.35,11184020,$100.07,$100.62,$99.16
11/04/2016,$97.57,9038406,$96.90,$98.79,$96.67
11/03/2016,$97.75,15580000,$98.04,$99.30,$96.46
11/02/2016,$98.51,36965870,$103.85,$104.10,$97.30
11/01/2016,$101.15,21226050,$100.43,$101.24,$99.21
10/31/2016,$101.69,15833790,$102.65,$103.21,$101.42
10/28/2016,$101.93,8352163,$102.35,$103.05,$101.55
10/27/2016,$102.38,8793405,$103.38,$104.11,$101.85
10/26/2016,$102.78,7570229,$103.68,$104.00,$102.70
10/25/2016,$104.22,8961856,$104.86,$105.2002,$104.02
10/24/2016,$104.50,10878840,$104.98,$105.30,$103.55
10/21/2016,$103.94,7356226,$103.70,$103.94,$102.75
10/20/2016,$103.85,7087015,$104.20,$104.74,$103.57
10/19/2016,$103.93,8931290,$104.33,$104.80,$103.65
10/18/2016,$103.34,11082800,$104.47,$104.99,$103.31
10/17/2016,$102.84,10349520,$101.50,$103.47,$101.27
10/14/2016,$101.85,12779630,$104.27,$104.70,$101.03
